person_age,person_gender,person_education,person_income,person_emp_exp,person_home_owner,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
30,male,High School,54840,6,MORTGAGE,7500,HOMEIMPROVEMENT,7.9,0.14,5,566,yes,0
24,male,Master,48957,0,RENT,7500,PERSONAL,5.97,0.15,4,626,yes,0
32,female,Associate,57474,10,MORTGAGE,11325,HOMEIMPROVEMENT,7.51,0.2,10,635,yes,0
22,male,Bachelor,61123,1,RENT,15000,PERSONAL,8.2,0.25,3,652,yes,0
26,male,Bachelor,29766,3,RENT,4500,VENTURE,5.79,0.15,3,593,no,0
28,male,High School,109458,9,MORTGAGE,25000,VENTURE,11.86,0.23,6,655,no,0
43,male,Doctorate,82584,20,MORTGAGE,11200,EDUCATION,11.12,0.14,16,654,yes,0
39,male,Associate,83385,16,RENT,12000,MEDICAL,9.33,0.14,16,623,yes,0
21,female,Master,65983,0,RENT,5125,DEBTCONSOLIDATION,5.99,0.08,4,582,no,1
37,female,High School,71667,15,MORTGAGE,9000,HOMEIMPROVEMENT,10.25,0.13,13,678,yes,0
23,female,High School,106467,1,MORTGAGE,10000,EDUCATION,7.51,0.09,2,645,yes,0
26,male,High School,73664,3,RENT,2560,MEDICAL,6.94,0.03,4,601,yes,0
27,male,Associate,71689,3,OWN,24250,MEDICAL,11.49,0.34,9,567,yes,0
42,male,Associate,56041,20,MORTGAGE,9600,DEBTCONSOLIDATION,7.51,0.17,17,626,yes,0
23,female,Master,94780,0,RENT,25000,VENTURE,10.62,0.26,3,667,no,1
22,male,Master,30887,0,RENT,7000,DEBTCONSOLIDATION,12.26,0.23,3,693,yes,0
24,male,Associate,39637,3,RENT,8000,DEBTCONSOLIDATION,12.34,0.2,4,685,no,1
29,female,Master,90897,8,RENT,5200,HOMEIMPROVEMENT,10.75,0.06,8,687,yes,0
30,male,Associate,108761,6,RENT,3600,EDUCATION,14.91,0.03,6,618,yes,0
30,female,Associate,58677,6,RENT,2000,DEBTCONSOLIDATION,10.75,0.03,5,635,no,0
32,female,Bachelor,39402,12,RENT,5000,DEBTCONSOLIDATION,18.25,0.13,7,654,no,1
27,male,High School,111885,4,MORTGAGE,17500,HOMEIMPROVEMENT,11.01,0.16,8,545,yes,0
30,male,Master,120900,8,RENT,1000,PERSONAL,10.23,0.01,7,596,no,0
29,male,Associate,36514,5,RENT,6600,MEDICAL,15.33,0.18,8,694,no,1
30,male,Master,97550,10,RENT,10000,VENTURE,7.99,0.1,6,515,yes,0
35,female,Master,101867,13,RENT,7000,EDUCATION,7.29,0.07,8,698,yes,0
28,male,High School,39161,5,RENT,7750,MEDICAL,14.22,0.2,5,612,no,0
24,female,Bachelor,48545,1,RENT,10000,MEDICAL,11.01,0.21,2,617,yes,0
23,male,Associate,193046,2,MORTGAGE,35000,VENTURE,7.66,0.18,3,617,yes,0
27,male,Bachelor,47542,3,RENT,11000,PERSONAL,11.01,0.23,7,653,yes,0
26,female,Associate,46104,4,RENT,10000,VENTURE,13.15,0.22,3,575,yes,0
43,female,Associate,84085,25,RENT,2000,DEBTCONSOLIDATION,8.9,0.02,17,676,yes,0
66,female,High School,52410,45,RENT,22250,DEBTCONSOLIDATION,14.59,0.42,23,672,no,1
26,female,Bachelor,37393,4,RENT,5000,DEBTCONSOLIDATION,14.42,0.13,4,597,no,1
26,male,Associate,62135,3,RENT,16269,MEDICAL,15.17,0.26,8,623,no,1
31,male,Bachelor,143149,7,RENT,24250,HOMEIMPROVEMENT,12.53,0.17,5,538,yes,0
26,male,High School,111442,2,MORTGAGE,10000,VENTURE,11.01,0.09,3,605,yes,0
23,male,High School,29589,2,MORTGAGE,2800,DEBTCONSOLIDATION,16.07,0.09,3,613,no,1
32,female,Doctorate,70257,9,OWN,8000,VENTURE,13.85,0.11,10,646,yes,0
36,female,Associate,54054,14,RENT,2000,DEBTCONSOLIDATION,13.61,0.04,13,662,no,1
25,female,High School,49473,0,RENT,10000,EDUCATION,12.18,0.2,3,559,no,0
27,female,Master,58571,4,OWN,4500,EDUCATION,13.8,0.08,8,707,yes,0
25,male,High School,66100,2,MORTGAGE,5500,EDUCATION,10.59,0.08,4,624,yes,0
22,male,Bachelor,37187,2,RENT,6400,DEBTCONSOLIDATION,16,0.17,3,596,no,1
45,female,Doctorate,63889,23,MORTGAGE,10400,MEDICAL,19.47,0.16,12,666,no,1
29,female,High School,32266,8,OWN,4500,VENTURE,11.71,0.14,5,657,yes,0
26,male,Associate,70820,2,MORTGAGE,6000,VENTURE,10.25,0.08,2,649,no,0
26,male,Doctorate,56282,3,RENT,9000,PERSONAL,7.14,0.16,3,681,yes,0
22,male,Associate,73100,2,MORTGAGE,3000,VENTURE,6.76,0.04,4,586,yes,0
25,female,High School,41403,0,RENT,10000,PERSONAL,6.62,0.24,4,631,no,1
29,female,High School,265854,4,MORTGAGE,8423,DEBTCONSOLIDATION,11.52,0.03,4,662,no,0
30,female,Bachelor,56112,8,MORTGAGE,6000,PERSONAL,7.23,0.11,6,565,yes,0
23,female,Bachelor,97332,0,RENT,6978,EDUCATION,8.01,0.07,3,708,no,0
22,male,High School,77534,2,MORTGAGE,2000,MEDICAL,9.32,0.03,4,514,yes,0
36,female,Bachelor,108813,15,MORTGAGE,4635,EDUCATION,10.85,0.04,10,648,yes,0
27,male,Bachelor,78811,7,RENT,8400,EDUCATION,6.99,0.11,5,683,yes,0
40,male,Associate,43018,15,RENT,2500,DEBTCONSOLIDATION,9.47,0.06,9,589,yes,0
23,male,Associate,33472,0,MORTGAGE,1000,HOMEIMPROVEMENT,15.99,0.03,3,638,no,1
25,male,Associate,67184,3,RENT,8500,MEDICAL,14.22,0.13,2,522,yes,0
32,male,Master,29970,10,RENT,4777,EDUCATION,9.11,0.16,11,738,no,0
23,male,High School,61262,0,RENT,3000,EDUCATION,11.01,0.05,2,569,yes,0
23,male,Master,75164,0,MORTGAGE,13000,HOMEIMPROVEMENT,12.25,0.17,4,695,yes,0
29,male,Master,43038,1,RENT,5000,HOMEIMPROVEMENT,10.9,0.12,9,550,yes,0
25,female,High School,217135,4,MORTGAGE,6000,HOMEIMPROVEMENT,12.42,0.03,4,510,no,0
23,female,High School,203531,0,MORTGAGE,14073,VENTURE,11.05,0.07,4,544,yes,0
23,male,Associate,36618,0,RENT,10000,PERSONAL,11.48,0.27,4,597,no,1
36,male,Associate,170898,16,MORTGAGE,6000,HOMEIMPROVEMENT,11.49,0.04,16,665,no,0
25,male,Associate,72840,0,RENT,3000,EDUCATION,17.58,0.04,2,605,yes,0
23,male,Bachelor,57563,0,RENT,4000,VENTURE,11.8,0.07,4,505,yes,0
23,male,High School,40156,1,RENT,10000,VENTURE,11.17,0.25,3,665,no,1
32,female,Master,80438,11,MORTGAGE,5000,MEDICAL,6.03,0.06,8,596,yes,0
22,male,Associate,61970,0,RENT,7000,VENTURE,12.18,0.11,2,579,no,0
24,female,Associate,102948,0,MORTGAGE,12000,DEBTCONSOLIDATION,7.88,0.12,3,679,no,0
24,female,Bachelor,91967,3,MORTGAGE,13500,VENTURE,8.49,0.15,4,692,no,0
22,male,High School,28467,0,RENT,7750,EDUCATION,11.01,0.27,4,582,no,1
25,male,Master,43306,1,RENT,7200,PERSONAL,9.99,0.17,4,615,yes,0
31,male,Master,181224,6,MORTGAGE,18163,PERSONAL,13.5,0.1,10,690,no,0
31,male,High School,31306,10,OWN,6626,MEDICAL,13.2,0.21,6,646,no,0
25,female,Bachelor,145000,2,MORTGAGE,20569,HOMEIMPROVEMENT,14.06,0.14,3,671,yes,0
31,male,Bachelor,55319,7,RENT,4000,EDUCATION,13.43,0.07,6,712,yes,0
34,male,Bachelor,61282,13,MORTGAGE,4000,VENTURE,8.9,0.07,8,619,yes,0
32,male,Master,22500,8,RENT,4000,EDUCATION,15.2,0.18,10,555,no,1
29,male,Associate,69201,8,OWN,11000,MEDICAL,10.62,0.16,6,708,yes,0
50,male,Associate,44399,29,RENT,6000,MEDICAL,11.01,0.14,11,712,no,0
24,male,Associate,48982,1,RENT,3000,EDUCATION,11.01,0.06,3,694,no,1
27,male,Bachelor,138844,3,MORTGAGE,24000,HOMEIMPROVEMENT,11.01,0.17,7,553,yes,0
22,female,Associate,60547,1,MORTGAGE,20000,EDUCATION,11.48,0.33,2,672,yes,0
28,female,Associate,75758,3,MORTGAGE,3824,HOMEIMPROVEMENT,6.89,0.05,6,669,no,0
26,female,Bachelor,88660,5,MORTGAGE,12000,EDUCATION,7.46,0.14,4,698,no,0
24,male,Bachelor,100365,4,MORTGAGE,20000,HOMEIMPROVEMENT,11.01,0.2,4,649,yes,0
22,male,Associate,30687,0,RENT,4800,MEDICAL,10.65,0.16,2,448,yes,0
34,female,Bachelor,56078,11,RENT,5850,PERSONAL,11.12,0.1,8,647,yes,0
26,female,High School,25023,6,RENT,4800,MEDICAL,8.72,0.19,3,653,yes,0
24,female,High School,51688,0,RENT,2000,HOMEIMPROVEMENT,15.62,0.04,2,606,no,1
24,female,High School,43963,5,RENT,2098,DEBTCONSOLIDATION,15.32,0.05,4,627,no,1
23,male,Associate,78862,0,MORTGAGE,4000,EDUCATION,11.49,0.05,4,650,yes,0
31,male,Bachelor,25363,9,OWN,5000,VENTURE,11.83,0.2,5,718,yes,0
24,female,High School,72654,3,RENT,8000,HOMEIMPROVEMENT,14.59,0.11,3,515,yes,0
23,male,Master,67877,0,RENT,9000,HOMEIMPROVEMENT,10.94,0.13,3,686,yes,0
24,male,Associate,48990,2,MORTGAGE,2500,MEDICAL,10.88,0.05,2,624,no,0
26,female,Bachelor,28088,6,RENT,2500,PERSONAL,6.76,0.09,4,688,no,1
26,female,Associate,114969,4,RENT,2400,MEDICAL,10.04,0.02,3,623,yes,0
23,male,High School,65742,0,MORTGAGE,1400,DEBTCONSOLIDATION,5.42,0.02,4,636,no,0
35,female,Bachelor,34802,14,RENT,8500,MEDICAL,11.58,0.24,6,663,yes,0
39,female,Bachelor,54891,20,MORTGAGE,12000,PERSONAL,14.72,0.22,13,725,no,0
24,male,High School,85047,3,MORTGAGE,17000,PERSONAL,7.51,0.2,4,572,yes,0
27,male,Associate,108839,5,RENT,10000,EDUCATION,10,0.09,5,477,yes,0
26,male,High School,82620,2,RENT,10700,EDUCATION,12.42,0.13,4,666,yes,0
24,male,Associate,54390,3,OWN,17000,HOMEIMPROVEMENT,8.58,0.31,2,639,no,0
32,female,High School,64690,8,RENT,10000,HOMEIMPROVEMENT,9.26,0.15,9,483,yes,0
24,female,High School,126877,0,MORTGAGE,9865,EDUCATION,9.76,0.08,3,620,yes,0
22,male,Bachelor,151457,0,MORTGAGE,25000,PERSONAL,11.01,0.17,2,584,yes,0
29,female,Bachelor,8248,8,RENT,3057,VENTURE,9.29,0.37,9,712,no,1
22,male,High School,16218,1,MORTGAGE,2000,PERSONAL,5.42,0.12,4,614,no,1
25,male,Associate,108852,6,MORTGAGE,10000,PERSONAL,7.49,0.09,3,674,yes,0
32,female,Bachelor,49077,9,RENT,5400,EDUCATION,11.11,0.11,5,677,yes,0
24,female,Associate,70147,0,RENT,1500,DEBTCONSOLIDATION,10.75,0.02,4,600,yes,0
23,male,Master,21741,1,RENT,1750,VENTURE,10.95,0.08,3,632,yes,0
29,male,Bachelor,50428,7,RENT,5000,PERSONAL,11.49,0.1,9,536,yes,0
32,male,Bachelor,150920,11,MORTGAGE,12381,PERSONAL,10.87,0.08,10,680,yes,0
23,male,Bachelor,94096,0,MORTGAGE,11700,DEBTCONSOLIDATION,6.17,0.12,3,660,yes,0
25,male,High School,95103,3,MORTGAGE,14200,HOMEIMPROVEMENT,11.48,0.15,3,607,yes,0
30,male,High School,46485,5,RENT,7500,EDUCATION,10.24,0.16,6,682,no,0
24,male,Bachelor,29945,2,MORTGAGE,8000,EDUCATION,11.34,0.27,4,608,yes,0
26,female,Master,62333,7,RENT,5500,HOMEIMPROVEMENT,13.49,0.09,2,641,no,1
25,female,High School,58461,3,RENT,7000,MEDICAL,7.23,0.12,3,552,yes,0
21,male,Bachelor,10553,3,RENT,1200,MEDICAL,15.23,0.11,2,651,yes,0
22,female,Bachelor,76442,1,RENT,6400,EDUCATION,8.49,0.08,3,586,yes,0
27,male,High School,109165,6,MORTGAGE,20000,EDUCATION,8.92,0.18,5,614,no,0
33,male,High School,90150,9,RENT,3000,EDUCATION,11.83,0.03,5,696,no,1
25,male,Master,80736,5,OWN,5000,MEDICAL,12.53,0.06,4,707,no,0
25,male,Bachelor,80921,0,MORTGAGE,4000,EDUCATION,12.18,0.05,2,581,yes,0
29,male,Bachelor,78849,8,RENT,16000,PERSONAL,17.27,0.2,6,547,yes,0
32,female,Bachelor,63511,10,RENT,7125,PERSONAL,7.49,0.11,10,696,yes,0
33,male,Bachelor,46555,7,RENT,10554,VENTURE,12.9,0.23,6,644,yes,0
34,male,High School,192605,13,RENT,11439,VENTURE,13.08,0.06,8,629,no,1
22,female,High School,169028,0,RENT,10000,EDUCATION,9.99,0.06,2,617,no,0
30,male,High School,82025,10,MORTGAGE,17000,PERSONAL,11.58,0.21,6,586,yes,0
22,male,Bachelor,77709,0,OWN,15000,EDUCATION,17.49,0.19,4,608,yes,0
24,male,High School,71742,2,RENT,6000,DEBTCONSOLIDATION,16,0.08,4,607,no,1
26,female,Associate,133030,5,MORTGAGE,20000,EDUCATION,8.85,0.15,3,632,yes,0
22,female,High School,67040,0,MORTGAGE,12000,EDUCATION,9.63,0.18,2,508,no,0
31,female,High School,61975,8,RENT,5275,PERSONAL,12.77,0.09,8,563,yes,0
26,male,Bachelor,72904,4,MORTGAGE,12500,VENTURE,6.92,0.17,2,668,yes,0
28,female,Associate,109137,5,RENT,7000,DEBTCONSOLIDATION,12.87,0.06,10,673,no,0
22,female,Associate,54766,0,MORTGAGE,5000,PERSONAL,6.99,0.09,3,688,yes,0
29,male,Bachelor,73251,6,RENT,17000,HOMEIMPROVEMENT,14.96,0.23,8,626,yes,0
25,male,High School,58532,3,RENT,3000,DEBTCONSOLIDATION,11.01,0.05,4,609,yes,0
23,male,High School,73249,0,RENT,9000,VENTURE,11.01,0.12,4,517,yes,0
32,female,High School,42020,14,RENT,6000,VENTURE,14.65,0.14,8,569,yes,0
28,male,Master,55616,0,MORTGAGE,7500,EDUCATION,10.27,0.13,7,690,yes,0
29,female,Bachelor,118074,6,MORTGAGE,6500,HOMEIMPROVEMENT,11.95,0.06,9,627,yes,0
23,female,Associate,66711,4,MORTGAGE,10000,EDUCATION,10.99,0.15,4,655,yes,0
23,female,Associate,114686,3,RENT,12000,EDUCATION,9.63,0.1,4,523,yes,0
27,male,Associate,42822,2,RENT,10000,MEDICAL,9.88,0.23,8,645,yes,0
26,male,Bachelor,102775,5,MORTGAGE,8500,EDUCATION,11.01,0.08,4,585,yes,0
29,male,Master,49308,7,RENT,1925,DEBTCONSOLIDATION,7.05,0.04,10,678,yes,0
36,male,High School,85237,13,MORTGAGE,11000,PERSONAL,7.51,0.13,12,653,yes,0
30,female,High School,53877,7,RENT,15000,MEDICAL,10.13,0.28,6,646,no,1
23,female,High School,117617,0,MORTGAGE,1800,VENTURE,11.01,0.02,2,623,yes,0
32,male,High School,49428,8,RENT,8700,MEDICAL,12.61,0.18,5,652,no,0
30,male,Associate,45250,10,OWN,10000,VENTURE,6.03,0.22,10,656,yes,0
24,male,High School,92838,4,RENT,6400,EDUCATION,7.51,0.07,3,611,yes,0
31,female,High School,72987,7,MORTGAGE,7200,MEDICAL,6.03,0.1,8,642,yes,0
24,female,Bachelor,55111,2,RENT,12000,EDUCATION,11.07,0.22,3,581,yes,0
25,female,High School,51596,2,RENT,12000,EDUCATION,7.9,0.23,4,634,no,0
30,male,Master,72792,3,MORTGAGE,13496,MEDICAL,7.59,0.19,8,571,yes,0
23,female,Bachelor,40675,3,RENT,5000,PERSONAL,11.01,0.12,4,672,no,0
22,female,Bachelor,45672,0,RENT,18250,PERSONAL,14.61,0.4,2,561,no,1
46,female,High School,138354,23,MORTGAGE,3000,EDUCATION,8.59,0.02,17,700,yes,0
30,male,Master,126985,7,MORTGAGE,20000,EDUCATION,11.83,0.16,5,599,yes,0
22,female,High School,35309,0,RENT,8000,EDUCATION,11.49,0.23,2,694,yes,0
27,male,High School,100389,4,MORTGAGE,4807,DEBTCONSOLIDATION,8.59,0.05,7,580,yes,0
26,female,Bachelor,85087,5,MORTGAGE,4000,HOMEIMPROVEMENT,8.49,0.05,2,694,yes,0
24,male,Bachelor,141568,1,MORTGAGE,10800,MEDICAL,11.01,0.08,3,690,yes,0
56,male,High School,180925,34,MORTGAGE,15000,PERSONAL,11.48,0.08,28,682,yes,0
23,female,High School,36775,1,RENT,5000,PERSONAL,11.59,0.14,4,652,yes,0
26,male,High School,105774,5,MORTGAGE,6847,EDUCATION,12.02,0.06,3,641,no,0
25,male,Associate,66893,0,RENT,8500,HOMEIMPROVEMENT,14.22,0.13,3,559,yes,0
33,female,Associate,87519,12,MORTGAGE,5000,PERSONAL,6.99,0.06,5,624,no,0
33,male,Bachelor,51310,12,RENT,8000,MEDICAL,5.99,0.16,7,714,yes,0
24,female,Associate,67098,0,RENT,9000,HOMEIMPROVEMENT,14.72,0.13,2,612,yes,0
33,male,Bachelor,133064,11,RENT,10000,DEBTCONSOLIDATION,13.57,0.08,10,615,yes,0
28,male,Bachelor,35860,5,RENT,1039,MEDICAL,8.65,0.03,6,651,no,0
27,female,Doctorate,97193,1,MORTGAGE,35000,PERSONAL,11.01,0.36,8,658,yes,0
39,male,High School,32179,15,RENT,11000,DEBTCONSOLIDATION,8.59,0.34,12,622,no,1
24,male,Bachelor,69006,0,RENT,3000,MEDICAL,7.88,0.04,3,631,yes,0
26,female,Associate,41963,0,MORTGAGE,5000,PERSONAL,5.79,0.12,4,559,yes,0
25,female,High School,30946,2,RENT,6420,DEBTCONSOLIDATION,10.04,0.21,4,562,yes,0
23,male,High School,70556,0,MORTGAGE,2500,PERSONAL,10.37,0.04,2,648,yes,0
40,female,Associate,72866,19,MORTGAGE,3500,HOMEIMPROVEMENT,12.99,0.05,14,654,no,0
30,female,High School,61194,5,MORTGAGE,10000,EDUCATION,16.89,0.16,10,688,yes,0
26,male,Associate,76635,2,RENT,12584,HOMEIMPROVEMENT,9.59,0.16,5,621,yes,0
26,male,Associate,65433,6,RENT,6000,EDUCATION,6.28,0.09,5,679,yes,0
27,female,High School,92241,5,MORTGAGE,12000,DEBTCONSOLIDATION,11.01,0.13,6,577,no,0
23,female,High School,72648,4,RENT,3000,DEBTCONSOLIDATION,7.51,0.04,2,507,yes,0
45,female,Associate,85211,25,MORTGAGE,10000,MEDICAL,8.59,0.12,12,703,yes,0
26,female,Master,156968,1,MORTGAGE,30000,VENTURE,10.94,0.19,5,618,yes,0
25,female,Associate,129178,2,MORTGAGE,24072,HOMEIMPROVEMENT,7.75,0.19,3,625,no,0
24,male,Associate,136538,4,RENT,16000,VENTURE,11.99,0.12,2,612,yes,0
25,male,High School,73272,0,RENT,8400,VENTURE,12.71,0.11,3,647,yes,0
24,female,High School,22360,0,RENT,2000,VENTURE,10.37,0.09,2,658,no,0
31,female,Bachelor,36887,12,RENT,10000,DEBTCONSOLIDATION,14.42,0.27,9,690,no,1
24,female,Bachelor,77500,1,MORTGAGE,2199,MEDICAL,11.73,0.03,3,592,no,1
23,male,High School,80216,0,RENT,9200,EDUCATION,11.86,0.11,2,674,yes,0
30,female,Bachelor,27084,7,RENT,1500,DEBTCONSOLIDATION,14.72,0.06,8,693,no,0
23,female,High School,25534,0,RENT,7500,EDUCATION,6.91,0.29,2,578,no,1
28,male,High School,39955,8,MORTGAGE,2500,PERSONAL,8.88,0.06,8,595,no,1
26,female,High School,194059,4,MORTGAGE,29814,PERSONAL,8.02,0.15,4,492,yes,0
35,female,Associate,29482,10,MORTGAGE,4000,VENTURE,14.4,0.14,13,607,yes,0
27,male,Master,15675,4,OWN,8125,EDUCATION,14.42,0.52,5,505,no,1
28,male,High School,225110,7,MORTGAGE,10000,MEDICAL,14.22,0.04,9,567,yes,0
40,female,High School,80462,17,RENT,13754,EDUCATION,10.7,0.17,9,549,yes,0
25,female,High School,61434,4,MORTGAGE,3000,VENTURE,14.65,0.05,3,656,yes,0
30,male,High School,49492,4,RENT,9000,MEDICAL,14.54,0.18,5,620,no,0
26,female,Master,140072,0,RENT,19800,MEDICAL,11.48,0.14,4,617,yes,0
26,female,Associate,39694,2,RENT,6351,VENTURE,10.89,0.16,3,576,yes,0
27,female,Associate,31014,4,RENT,8000,PERSONAL,14.84,0.26,7,620,no,1
31,female,Doctorate,70905,8,MORTGAGE,16000,DEBTCONSOLIDATION,11.01,0.23,8,656,no,1
29,male,Associate,108600,5,MORTGAGE,8000,EDUCATION,13.14,0.07,5,673,yes,0
27,female,Bachelor,65599,5,RENT,3200,VENTURE,9.88,0.05,7,639,yes,0
28,male,Bachelor,45277,7,RENT,3000,MEDICAL,11.12,0.07,6,660,yes,0
31,male,Associate,422825,6,RENT,10500,VENTURE,15.7,0.02,6,587,yes,0
25,male,Bachelor,64325,3,MORTGAGE,11000,DEBTCONSOLIDATION,8.94,0.17,3,610,yes,0
33,female,Master,67300,10,MORTGAGE,8000,PERSONAL,11.09,0.12,9,718,no,0
33,male,High School,47025,11,OWN,16450,VENTURE,10.65,0.35,8,624,no,0
23,male,Associate,92518,0,OWN,18000,EDUCATION,10.99,0.19,2,675,yes,0
29,female,Associate,52751,8,RENT,4000,EDUCATION,11.74,0.08,8,698,no,0
29,female,Bachelor,60525,8,RENT,6500,MEDICAL,8.5,0.11,6,668,no,0
26,male,High School,58869,5,MORTGAGE,10000,PERSONAL,5.79,0.17,4,532,no,0
27,male,Bachelor,37347,8,RENT,4200,VENTURE,12.53,0.11,10,648,no,0
33,female,Bachelor,64430,10,RENT,12000,HOMEIMPROVEMENT,12.84,0.19,5,719,no,0
33,male,Bachelor,19442,10,OWN,3774,VENTURE,8.25,0.19,9,683,no,1
25,female,High School,19819,1,RENT,3245,EDUCATION,12.1,0.16,4,482,no,1
24,male,High School,60802,2,MORTGAGE,15000,VENTURE,9.2,0.25,3,441,yes,0
24,male,Bachelor,157027,2,MORTGAGE,20046,VENTURE,10.62,0.13,5,688,yes,0
46,female,High School,40759,25,MORTGAGE,12000,MEDICAL,11.01,0.29,14,634,no,1
23,female,Master,70092,0,RENT,9000,MEDICAL,10.37,0.13,3,689,yes,0
25,male,Associate,32538,2,RENT,5342,MEDICAL,9.57,0.16,3,664,yes,0
24,female,Master,61174,3,RENT,7200,DEBTCONSOLIDATION,12.84,0.12,3,609,no,0
33,female,Bachelor,118595,10,MORTGAGE,25000,VENTURE,11.83,0.21,10,691,no,0
23,female,Master,73316,0,MORTGAGE,12000,EDUCATION,7.51,0.16,3,693,yes,0
23,male,Associate,149673,1,RENT,6800,DEBTCONSOLIDATION,6.03,0.05,2,671,no,0
39,male,High School,81909,18,RENT,23970,EDUCATION,14.91,0.29,11,569,no,1
24,female,Master,114909,3,MORTGAGE,5000,PERSONAL,9.88,0.04,4,713,no,0
31,male,Bachelor,198810,9,MORTGAGE,15000,HOMEIMPROVEMENT,12.61,0.08,7,698,yes,0
26,female,Associate,70144,2,RENT,9600,EDUCATION,13.99,0.14,4,465,yes,0
