loan_uuid,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_owner,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status,
7200a15d-60e4-4b9c-9f90-09e310089235,23,female,High School,157652,0,MORTGAGE,30000,EDUCATION,8.63,0.19,4,667,no,0,
72014edb-899c-493b-b663-ddd748d13bb6,27,male,Master,125764,6,MORTGAGE,10000,PERSONAL,10.65,0.08,9,723,no,0,
720208a8-9b01-4298-ac8f-9871cd43c9ff,29,male,High School,59802,6,RENT,6000,PERSONAL,13.99,0.1,6,660,no,1,
72021f24-62eb-46d6-8ef3-c97e79c23f08,24,male,Master,72906,0,RENT,7200,VENTURE,8.49,0.1,2,666,no,0,
7205bab1-35b9-4e7b-b642-228362a23020,29,male,Bachelor,60991,7,MORTGAGE,16000,VENTURE,10.68,0.26,6,650,yes,0,
72062ac9-6c87-4374-a23b-497e012444aa,22,male,High School,36784,0,RENT,9375,PERSONAL,11.71,0.25,2,541,no,1,
72067581-d631-4dc4-b2b6-a6d4d7159934,31,female,Master,29041,9,RENT,5000,EDUCATION,11.14,0.17,8,634,no,0,
72068b2c-408e-4787-a925-df59c329d100,21,female,High School,26946,0,OWN,7125,VENTURE,6.99,0.26,3,653,no,0,
7206cde8-7043-434a-af71-d0f8190a0853,28,female,Master,29789,4,RENT,5000,DEBTCONSOLIDATION,12.02,0.17,5,579,yes,0,
72072174-3eb0-469e-9a70-46dc568aaf48,22,male,Associate,29673,3,RENT,5200,DEBTCONSOLIDATION,13.49,0.18,2,610,yes,0,
72072222-e6a1-4fed-8e36-7743c83d5fdd,24,female,High School,65618,3,RENT,7000,DEBTCONSOLIDATION,15.99,0.11,3,673,no,1,
720ba665-f13b-4b68-b042-6b820392172c,27,male,Associate,180806,3,MORTGAGE,14244,DEBTCONSOLIDATION,7.68,0.08,6,667,yes,0,
720c92bb-376d-483f-9097-46d324032a11,28,female,High School,119301,6,MORTGAGE,20000,VENTURE,14.84,0.17,9,607,yes,0,
720e3016-bd07-4dc0-b7a4-b0b4db5002f1,23,male,Associate,80452,2,RENT,25000,MEDICAL,15.37,0.31,2,699,no,1,
7214200e-e2b0-43bd-b91d-dc31b9bb7847,22,female,Associate,43113,0,RENT,5000,MEDICAL,11.42,0.12,3,667,no,0,
7215231e-e2f5-4af6-bc51-21fb80bb669a,33,female,High School,54005,10,RENT,2725,MEDICAL,12.18,0.05,6,575,no,1,
721686e2-4bb1-4701-a899-f182e54a57c4,25,female,Bachelor,104173,4,MORTGAGE,15000,PERSONAL,6.91,0.14,4,659,no,1,
7216f442-d1a3-4e0e-8abf-1a40d81e1e72,26,male,Master,101786,4,MORTGAGE,2150,HOMEIMPROVEMENT,13.47,0.02,2,610,yes,0,
721b3066-ebf9-4d8b-9533-32706a992b16,21,female,Bachelor,32394,0,RENT,9450,DEBTCONSOLIDATION,16.77,0.29,2,547,no,1,
721c1969-3691-49a1-9cac-9b483e93d455,31,male,High School,93695,10,RENT,10000,EDUCATION,16.49,0.11,7,548,yes,0,
721ce32e-464c-463e-9c5b-462fb82ae015,26,male,Bachelor,144904,4,MORTGAGE,8444,MEDICAL,6.4,0.06,6,575,yes,0,
721e57a6-2ac9-4300-96b8-d8651a398a18,34,female,Associate,111166,13,MORTGAGE,25000,MEDICAL,15.83,0.22,9,652,no,1,
721ec1ce-f38b-4d0a-9925-14d3f49e6bb0,25,female,Associate,66911,1,MORTGAGE,2000,DEBTCONSOLIDATION,13.22,0.03,2,573,no,0,
7225025b-04bc-4866-9db0-2b33e5bad58d,38,female,High School,15187,15,OWN,4800,EDUCATION,7.29,0.32,12,540,no,1,
72277fde-76a9-4208-89e3-a3fd704d371d,30,male,High School,84906,5,RENT,2000,PERSONAL,10.65,0.02,10,643,yes,0,
7227efd8-c83b-4840-8724-7401fc233bdc,25,female,Associate,95742,2,RENT,15000,EDUCATION,12.18,0.16,3,675,no,1,
72284073-a54b-4b73-9e8b-c7588b71fe4f,23,female,Master,72869,0,RENT,9800,EDUCATION,13.49,0.13,2,707,no,0,
72296a0a-50c7-47ce-9012-4ffc13931b7d,31,female,Bachelor,133176,8,RENT,3650,PERSONAL,9.63,0.03,6,659,no,0,
722c126b-eb33-4ee7-939d-aac6251eac24,26,male,Associate,67550,7,RENT,12000,PERSONAL,12.42,0.18,3,692,no,0,
722d3ecf-b9c4-4519-b676-f495973f1347,24,female,Associate,84747,5,RENT,8000,DEBTCONSOLIDATION,12.94,0.09,4,588,yes,0,
722e279d-4049-4c89-b84d-93e7dfa6700c,21,female,Master,29771,0,MORTGAGE,5000,EDUCATION,8.7,0.17,2,637,yes,0,
722f2e10-0388-425a-85c0-dc33285ba005,23,male,Associate,33227,0,RENT,18000,VENTURE,11.54,0.54,4,679,no,1,
7230762c-2e6e-44d9-93d4-09ea3d54e133,23,female,Bachelor,85198,3,MORTGAGE,6000,PERSONAL,7.51,0.07,2,651,yes,0,
7231a954-9b36-4329-affd-15ea27e1af8e,36,male,Bachelor,17773,13,RENT,4798,PERSONAL,15.16,0.27,15,676,no,1,
7233a119-1620-470c-8154-5406e23ceaa9,21,male,Associate,43051,0,MORTGAGE,1500,EDUCATION,9.63,0.03,2,681,no,0,
7233d3ee-31f5-406c-bf23-c3884a2f5636,37,male,Master,79248,16,RENT,12000,HOMEIMPROVEMENT,13.98,0.15,12,667,no,0,
723428a5-c000-4735-af49-0f9e1ef9e4e9,24,male,Bachelor,48003,1,RENT,8000,HOMEIMPROVEMENT,11.01,0.17,2,629,no,1,
72397729-928a-4c3a-8ac3-bb3bbfc00422,24,male,High School,97163,4,MORTGAGE,12000,PERSONAL,13.48,0.12,4,663,no,0,
723b0106-c163-4021-86b7-9afaff253352,25,male,Bachelor,15255,2,RENT,1000,EDUCATION,10.65,0.07,2,611,no,0,
723d51d5-d952-4dc1-b5bf-981d2ded5a1e,22,male,Associate,56074,0,RENT,12000,VENTURE,12.68,0.21,3,668,no,0,
723f17f5-4105-4687-b79f-5b9aa6ada7f0,28,male,Associate,81455,6,RENT,5000,MEDICAL,12.22,0.06,9,644,yes,0,
7240dbe8-1d2e-4de1-8ffd-7bad3b66af87,23,male,High School,70650,2,RENT,12800,EDUCATION,12.42,0.18,4,578,yes,0,
7240eea7-6f08-45f1-8ad2-326d9b31ba97,32,male,Doctorate,44246,7,RENT,12200,MEDICAL,10.25,0.28,6,704,no,1,
72411c45-3691-4a9c-a08b-381e4e4c2edd,37,female,Associate,48858,19,RENT,3000,VENTURE,11.71,0.06,15,692,yes,0,
72442f0b-9bc1-471f-bc4d-03f48480a553,32,male,Associate,62129,9,RENT,15000,DEBTCONSOLIDATION,11.45,0.24,9,664,no,0,
7244cb0a-bf37-4a5f-b372-b2aabd94d0c1,26,female,Associate,91045,2,MORTGAGE,29700,HOMEIMPROVEMENT,12.99,0.33,4,623,yes,0,
72462c13-a871-44aa-8ded-e903c5626ad0,28,male,Bachelor,105184,4,MORTGAGE,20000,PERSONAL,11.51,0.19,5,655,no,1,
724767e8-8d3e-4b0f-b31d-69a48ec1e574,27,male,High School,56087,6,RENT,7500,MEDICAL,13.49,0.13,5,569,yes,0,
7247b301-f7b9-4c8b-b64c-c7c920000f58,23,male,Bachelor,36646,0,RENT,3600,VENTURE,6.48,0.1,3,561,yes,0,
72486603-6021-43f1-9e5a-2b12c4ffb0d6,34,male,High School,84657,10,MORTGAGE,15000,HOMEIMPROVEMENT,11.01,0.18,6,625,yes,0,
724a3233-b0b5-4261-a4cf-b8848b560e03,33,female,Associate,81355,9,MORTGAGE,25000,DEBTCONSOLIDATION,10.99,0.31,6,633,no,0,
724abbe7-274a-41f9-85af-82b74fb352bc,24,male,High School,87419,0,RENT,3000,PERSONAL,11.98,0.03,3,606,yes,0,
724ae3ef-25b7-42b5-8261-c8ba0dc8754c,29,male,Associate,51606,7,RENT,10000,MEDICAL,11.01,0.19,8,614,yes,0,
724b13ef-d50b-4257-84e2-fbfabc1b2b2f,26,male,Master,217024,1,MORTGAGE,12000,VENTURE,9.63,0.06,4,637,yes,0,
724b50c3-fb3f-495a-88d8-4122d863afb5,25,female,Bachelor,38570,2,RENT,1500,VENTURE,11.12,0.04,2,592,no,0,
724c7e8c-4d2f-4880-b21b-29d8e2750de8,22,female,Bachelor,45478,0,MORTGAGE,2500,MEDICAL,10.37,0.05,4,633,no,0,
724eb996-b56d-4f6f-96f6-98f47ecf4635,25,male,Bachelor,119053,4,RENT,16525,PERSONAL,15.28,0.14,3,655,no,0,
724fca77-62cf-448f-8815-b0924588f7fb,24,female,High School,70014,1,MORTGAGE,3300,HOMEIMPROVEMENT,5.42,0.05,4,662,no,0,
7250ad49-d1c0-4c9b-9561-4d115424ed7c,22,male,Bachelor,65701,2,MORTGAGE,15000,MEDICAL,11.99,0.23,2,597,yes,0,
7252158d-00cb-4eea-8ec8-385dfec6effa,29,male,High School,99651,5,MORTGAGE,19450,VENTURE,9.91,0.2,10,648,yes,0,
72521cd4-3372-453f-a202-36b1a6b460c4,25,female,High School,63303,2,RENT,2448,DEBTCONSOLIDATION,9.35,0.04,4,681,yes,0,
7256b5cb-b37e-4fb3-a5e0-a569890fbb19,24,female,Bachelor,54859,5,RENT,6000,MEDICAL,7.49,0.11,3,565,yes,0,
7256e991-f36d-4ad6-bd64-5de3907646e0,24,male,High School,84832,2,OTHER,9000,PERSONAL,11.83,0.11,3,623,yes,0,
72575d20-fa08-439e-b218-ba345f9c1d67,24,female,Master,90149,1,RENT,16000,PERSONAL,11.86,0.18,3,636,yes,0,
7257a29e-1688-40db-9e46-41185963e575,23,female,High School,83592,2,MORTGAGE,15000,EDUCATION,10.73,0.18,3,661,yes,0,
7257d60b-ae1e-442f-a7f5-cadab1fb6988,22,female,Bachelor,49120,2,MORTGAGE,9922,DEBTCONSOLIDATION,7.75,0.2,4,542,yes,0,
72598f78-1867-4208-b6b2-e0a4c2af9ac6,22,female,Master,109090,1,MORTGAGE,16000,EDUCATION,6.03,0.15,4,619,yes,0,
7259f178-3938-4d5b-aee6-7215f8683e6f,30,male,Associate,49871,6,RENT,14500,VENTURE,13.23,0.29,10,682,no,1,
725a4664-63bc-4c88-9434-40fdef2150df,27,female,Associate,89468,5,RENT,12000,VENTURE,14.08,0.13,7,609,yes,0,
725d5877-1ac3-4cf0-b05a-743dfa375c0a,23,male,High School,108909,1,RENT,10000,VENTURE,7.51,0.09,2,682,no,0,
725f46a8-fb7d-4f26-8126-f47477217f97,26,female,High School,60871,6,OWN,1800,HOMEIMPROVEMENT,11.49,0.03,4,543,yes,0,
726123fd-65cd-4772-b617-e95b8151ac22,25,female,Master,55820,5,MORTGAGE,13000,MEDICAL,12.99,0.23,4,672,no,0,
7263f2b1-afa4-439f-a980-be8237968c36,22,male,Master,46281,0,MORTGAGE,13500,PERSONAL,11.83,0.29,4,654,no,0,
7266633e-b258-47e6-b7fc-91f232194fcb,32,male,High School,27428,12,RENT,10000,MEDICAL,18.39,0.36,6,651,no,1,
7268b713-8ed2-4bfd-9e09-9681ca0c7d3f,25,female,Bachelor,69355,6,MORTGAGE,25000,PERSONAL,7.51,0.36,3,705,yes,0,
726ea784-9c22-4f7c-8a2d-d1ff6e7f35f2,24,male,High School,110607,1,MORTGAGE,1000,HOMEIMPROVEMENT,7.68,0.01,3,642,yes,0,
726f6466-a71c-4098-9571-90966e864793,26,male,Associate,65759,4,MORTGAGE,10800,PERSONAL,7.88,0.16,3,691,yes,0,
72753134-34f2-4aa6-8fe9-bf5cdf016888,25,female,Bachelor,42909,4,RENT,4000,MEDICAL,15.7,0.09,4,703,no,1,
72755c51-2bf1-4a70-8661-47aedf5c8819,33,female,Bachelor,99647,13,RENT,5000,HOMEIMPROVEMENT,7.51,0.05,5,632,yes,0,
72765318-2f73-4282-9b0b-873a4c7a6dca,22,male,High School,60358,0,RENT,9000,PERSONAL,14.35,0.15,4,586,no,0,
7277194f-608b-405c-b1e0-2c51e3611560,24,male,Bachelor,72807,1,MORTGAGE,8500,VENTURE,10.59,0.12,3,618,yes,0,
7279a82c-e59b-402f-8bca-5bcaaac4c6bb,31,male,High School,103125,12,RENT,25000,PERSONAL,11.89,0.24,6,634,yes,0,
727a0b07-6cfd-4e2c-9cd1-cc7899f553ca,40,male,High School,144908,17,RENT,12000,MEDICAL,5.81,0.08,12,569,yes,0,
727a6ac9-a161-479c-8204-81ada1ebcb2f,28,male,Associate,81379,5,RENT,5000,MEDICAL,14.26,0.06,6,623,no,0,
727afe1f-01c9-4e5e-87c3-615152011a56,26,female,Master,33026,3,RENT,2338,HOMEIMPROVEMENT,7.09,0.07,6,571,no,1,
72803551-820e-4acb-bd02-648c73dd682f,25,female,High School,35776,5,RENT,6000,MEDICAL,13.49,0.17,3,635,no,1,
72823619-7b17-48e6-8001-16afa020584c,24,female,High School,34086,1,MORTGAGE,2000,PERSONAL,14.27,0.06,2,622,yes,0,
728433b2-50dc-4072-bb96-495895f436f9,23,male,Associate,54805,1,RENT,10333,VENTURE,11.92,0.19,5,674,no,0,
7284c204-50ab-469e-813e-c09baee9cbbd,22,male,Master,51478,2,RENT,6000,EDUCATION,11.01,0.12,3,669,yes,0,
7284fccd-ad1d-466b-adcb-3e8401693018,23,male,Associate,81557,0,RENT,3000,MEDICAL,10.99,0.04,2,657,yes,0,
728704f2-f171-4886-acba-7955e9b831bc,28,male,High School,19363,5,RENT,4800,MEDICAL,10.99,0.25,8,631,no,1,
72877562-c911-4388-86cb-0358ceffdc90,24,female,Bachelor,40032,5,RENT,4000,DEBTCONSOLIDATION,11.19,0.1,2,575,yes,0,
728907fd-0fe0-4486-ace8-c7ed52c22b1b,40,female,Associate,40008,17,RENT,10000,DEBTCONSOLIDATION,10,0.25,14,701,no,1,
7289d16f-1810-4bf9-8782-56685c62f580,27,female,Bachelor,138778,4,MORTGAGE,5000,VENTURE,11.01,0.04,5,689,yes,0,
728afc2f-45cd-4029-8461-a9e4ffde9556,26,female,Master,64657,1,OWN,2500,HOMEIMPROVEMENT,9.91,0.04,2,647,no,0,
72922411-8f0b-4776-8d13-f4acd7a06450,25,male,Bachelor,30362,2,OWN,11743,VENTURE,9.4,0.39,4,608,yes,0,
729422fe-f864-44c7-bb1f-e629f0710d0c,29,female,High School,76648,3,RENT,6000,PERSONAL,7.51,0.08,7,662,yes,0,
729429f6-0bd3-4e1c-bbd4-1e8739403dda,37,male,Master,152010,15,MORTGAGE,6528,PERSONAL,13.48,0.04,9,737,no,0,
7295ce34-ea91-488d-bb23-3084d3134758,33,male,Master,67209,7,MORTGAGE,3500,HOMEIMPROVEMENT,10.65,0.05,5,650,yes,0,
7295f7f0-6c6f-42e3-83c1-3e71c8090800,23,female,High School,79266,1,MORTGAGE,7425,DEBTCONSOLIDATION,6.03,0.09,4,649,yes,0,
7297f0e6-810c-4f73-bcc3-a0c1af9c2058,30,male,Bachelor,143938,8,MORTGAGE,25000,PERSONAL,12.73,0.17,8,696,yes,0,
7297f3ae-c308-4c17-af40-96a930896b0b,32,male,Associate,84704,6,MORTGAGE,4503,PERSONAL,8.07,0.05,8,612,no,0,
72988890-c37c-4360-8aa2-14c75672b87c,28,female,Master,125954,3,MORTGAGE,35000,VENTURE,10.44,0.28,10,597,no,0,
72988fac-ec1d-4eb7-813e-a988d28759c8,27,male,Bachelor,68978,7,RENT,12000,MEDICAL,15.86,0.17,7,589,no,1,
729b1876-456e-4cb1-af49-fb4a58354cff,22,female,Master,77488,0,MORTGAGE,7000,EDUCATION,11.01,0.09,2,625,yes,0,
729bca95-693c-44b6-af1e-0babdb29e691,22,female,Associate,91732,0,MORTGAGE,6700,VENTURE,11.83,0.07,2,602,yes,0,
729efb49-835b-4d50-8ab6-0816f0ac982d,22,male,Associate,63456,1,MORTGAGE,18000,EDUCATION,10.36,0.28,4,619,no,0,
729fd751-4c66-4a2b-aeb8-cde40c2322ca,24,male,Bachelor,64536,3,RENT,8997,VENTURE,11.95,0.14,3,592,yes,0,
729fdb89-6cb4-4377-a08d-47b4322e0194,26,female,Bachelor,18914,3,RENT,3000,EDUCATION,11.12,0.16,6,620,no,1,
729ffe67-9f47-4dfc-bc85-962f0a04fea7,25,female,High School,76644,1,MORTGAGE,3000,EDUCATION,13.47,0.04,2,666,yes,0,
72a0098c-6c8d-46f1-bb9a-bf4d5bc2721a,33,male,Bachelor,72971,10,MORTGAGE,4000,EDUCATION,6.54,0.05,9,666,no,0,
72a07843-15c7-4a3a-96ad-a43f10cb90ca,22,female,Associate,34637,0,RENT,1000,PERSONAL,10.25,0.03,3,582,no,1,
72a42720-2250-42e8-bdf6-164e3de313e5,24,male,Master,33160,6,MORTGAGE,1000,MEDICAL,12.53,0.03,2,670,no,0,
72a4ae78-18e5-4aa3-9a3f-03ce09f8e0ce,26,female,Bachelor,19487,0,RENT,5000,DEBTCONSOLIDATION,5.99,0.26,3,622,no,1,
72a7c9e9-a2fc-4e6b-9646-cff8356a9e48,24,male,Associate,84657,2,MORTGAGE,12000,DEBTCONSOLIDATION,11.36,0.14,4,680,no,0,
72a7cbd9-58d6-497f-b737-806bf72f9884,27,female,Bachelor,139040,5,MORTGAGE,9600,MEDICAL,12.87,0.07,9,623,yes,0,
72acd8e5-26fb-4ed6-a1bb-00982829d81c,24,female,High School,70497,1,RENT,5000,PERSONAL,10.94,0.07,4,639,yes,0,
72af33b0-600d-4787-acc1-64cf782bc3a7,28,male,Associate,99570,5,MORTGAGE,15000,VENTURE,12.98,0.15,8,694,yes,0,
72af609c-8a51-429a-80d7-d44a54e8a9c1,26,female,High School,44258,3,RENT,15000,PERSONAL,7.66,0.34,3,613,no,1,
72b04384-11c6-45e9-8b30-867e0d4e6ecb,39,male,High School,390999,18,MORTGAGE,18000,PERSONAL,14.96,0.05,14,663,yes,0,
72b5921c-61ea-47a3-80f8-cb9ec37025cd,26,male,Associate,48887,4,RENT,12000,MEDICAL,10.3,0.25,3,685,yes,0,
72b5c5d3-703b-4162-9be7-09027ff73c56,22,male,High School,105343,2,MORTGAGE,1561,PERSONAL,10.15,0.01,4,567,yes,0,
72b60b5e-84de-44eb-adda-7105874098fa,33,female,High School,78937,6,RENT,6000,MEDICAL,7.47,0.08,6,589,yes,0,
72b71c14-581f-4b15-ab31-2b0e148d5c68,26,male,High School,97955,4,RENT,16000,HOMEIMPROVEMENT,13.85,0.16,2,604,yes,0,
72b92aa5-4fac-4eed-860c-eb646ad2221d,29,male,Doctorate,151346,5,MORTGAGE,25000,PERSONAL,11.44,0.17,4,572,yes,0,
72b9ca82-a620-4355-9627-67dbd1d9404b,30,female,Associate,145100,7,OWN,10000,VENTURE,13.06,0.07,8,499,yes,0,
72baae90-94c5-4e76-84b9-49fe708e507e,24,female,Associate,48911,3,RENT,3500,VENTURE,11.01,0.07,2,664,yes,0,
72bac32e-0b85-4929-bab3-d456265ec5a2,32,female,High School,95895,7,MORTGAGE,24000,MEDICAL,18.62,0.25,8,555,no,1,
72bf7f6c-25cc-44a1-ab17-693133ea9a20,27,male,Master,45268,4,RENT,4881,HOMEIMPROVEMENT,15.44,0.11,5,652,no,1,
72c5c0c3-350b-44f9-953b-c30b039bbdc7,27,male,Associate,87380,3,RENT,20000,HOMEIMPROVEMENT,13.22,0.23,9,598,no,1,
72c7bab9-bc3b-431d-823a-3cb52327cdd7,23,male,High School,70835,3,MORTGAGE,7200,MEDICAL,11.97,0.1,2,633,no,1,
72c7bc3c-21ad-4b18-98e8-0c67e834a8c4,33,male,Associate,91273,9,MORTGAGE,25000,MEDICAL,10.65,0.27,7,600,yes,0,
72c83eed-b6be-4ad9-9e96-d6db4b54ecad,37,female,High School,58416,14,RENT,7500,MEDICAL,16.29,0.13,14,641,yes,0,
72c9d791-761e-4d06-86cd-0caa903fda55,26,male,Master,126592,3,MORTGAGE,9500,DEBTCONSOLIDATION,9.32,0.08,3,585,yes,0,
72ca4695-f95f-4323-866e-77f52ac5cc3f,25,female,High School,81112,0,RENT,7000,EDUCATION,8.94,0.09,4,672,no,0,
72cabbb4-79d1-4d92-8f48-4e0f537efc3e,33,male,Associate,68778,11,RENT,3000,HOMEIMPROVEMENT,11.71,0.04,9,659,yes,0,
72ccd76a-3e38-4b66-8efd-c3305efd05d7,28,male,High School,85215,3,RENT,25000,EDUCATION,12.04,0.29,7,633,no,1,
72cddc06-88d5-412f-b221-93bc89dcba29,33,female,High School,41577,8,RENT,17000,EDUCATION,11.48,0.41,9,618,no,1,
72cfc9c5-01aa-418c-a5f7-21fb70916c28,31,female,Associate,67027,5,RENT,5000,PERSONAL,7.84,0.07,9,573,no,0,
72d0a788-0b3c-4f92-97bc-6791ed7e0799,22,male,High School,43124,0,MORTGAGE,3600,DEBTCONSOLIDATION,15.7,0.08,4,663,no,1,
72d0c8db-7f1d-4817-b082-603ff2750e97,25,female,Master,164197,2,MORTGAGE,8000,EDUCATION,10.91,0.05,3,584,yes,0,
72d0ec23-a13f-4b2b-ad31-62cbb9ff2d23,35,male,High School,110231,13,OWN,10000,MEDICAL,8.59,0.09,8,664,yes,0,
72d1c08a-9ebd-4ce9-a06c-104785cd8858,23,male,Bachelor,35492,0,OWN,3000,PERSONAL,11.11,0.08,4,654,yes,0,
72d36a08-8398-447e-b2de-f0378eaa7ebb,32,male,Associate,48934,7,MORTGAGE,16000,MEDICAL,5.99,0.33,9,646,yes,0,
72d3b73a-20d6-4b20-ab9b-7ab7eb9587ce,34,male,High School,72769,10,MORTGAGE,14000,EDUCATION,12.84,0.19,5,577,yes,0,
72da9965-0dbf-4e83-a9e9-9b52b643e5b8,25,female,Bachelor,39541,0,RENT,8000,DEBTCONSOLIDATION,10.62,0.2,3,652,yes,0,
72ddddee-8085-4e49-a880-ab50a26af85c,25,female,Bachelor,58621,2,MORTGAGE,4500,HOMEIMPROVEMENT,5.42,0.08,2,587,yes,0,
72de0433-ab9b-4a28-9f59-8b4dbd8c2865,21,male,Bachelor,51315,0,RENT,5000,PERSONAL,11.01,0.1,4,696,no,1,
72df7928-f7e0-4181-8588-72beffaf09fb,23,female,Bachelor,72644,0,RENT,8000,EDUCATION,9.74,0.11,4,710,yes,0,
72e3d4f4-a8b6-4af0-bf68-d04968f0ac35,23,male,Bachelor,109167,0,RENT,25000,DEBTCONSOLIDATION,11.36,0.23,3,678,no,0,
72e63116-3f14-461b-8f97-0eb8c5888fe7,48,male,High School,60864,25,OTHER,10400,MEDICAL,11.58,0.17,11,609,yes,0,
72e8e7e3-7fdc-4a58-a406-73884c0fa0e9,30,male,Bachelor,87415,8,MORTGAGE,12000,PERSONAL,10.95,0.14,5,719,no,0,
72eb06e8-57a4-4eb9-b40f-3fb01e13df83,27,female,Master,45610,3,RENT,7900,EDUCATION,11.11,0.17,7,550,yes,0,
72ebbfbb-8028-4c94-bed3-c6ccf9e2250d,23,male,Master,103103,1,RENT,10000,EDUCATION,6.17,0.1,3,727,no,0,
72ef8458-aa0a-4bb7-bd65-667230ae2751,23,female,Associate,49688,1,RENT,5500,EDUCATION,12.73,0.11,4,589,no,0,
72f07aa9-31d7-499f-b9ed-55751d005cc6,42,female,High School,83295,18,RENT,24250,MEDICAL,15.58,0.29,14,601,no,1,
72f169ac-6fb8-4f1c-a363-3e5a49215dea,28,male,Master,67123,8,OWN,20000,VENTURE,7.49,0.3,6,676,no,0,
72f232c7-87ba-4c31-9b34-5f1191944200,32,female,Master,118539,8,MORTGAGE,6000,VENTURE,8.88,0.05,9,634,yes,0,
72f239ff-5864-4e09-95e9-91237123ec78,24,male,High School,102877,3,RENT,6000,MEDICAL,6.03,0.06,3,561,yes,0,
72f3d6ca-6dba-4c98-a147-316ae37008c8,25,female,High School,144931,3,MORTGAGE,10000,MEDICAL,5.88,0.07,4,545,yes,0,
72f3e1dd-1253-46cc-9066-95f6a49cf6cd,28,female,Bachelor,31023,3,RENT,5000,EDUCATION,7.51,0.16,8,715,no,0,
72f50b40-b944-4f76-bf5b-9f01e4ebb203,25,female,High School,103194,4,RENT,5750,EDUCATION,7.29,0.06,4,583,yes,0,
72f5270f-bd4e-421c-89ec-3cc5da555229,37,female,High School,66042,14,MORTGAGE,8000,HOMEIMPROVEMENT,11.01,0.12,15,611,yes,0,
72f54b1d-7173-44a9-8f19-6bc6fee2decd,23,male,Master,24035,3,MORTGAGE,3000,DEBTCONSOLIDATION,11.01,0.12,3,658,no,1,
72f66b17-7001-403a-89b1-9a1a5fa414a8,30,male,Associate,85117,6,MORTGAGE,15000,HOMEIMPROVEMENT,12.73,0.18,6,675,yes,0,
